# 1c957f52-822d-4d76-bdf3-c3d51b0de46f
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 89656.0105557; 43129.1674233; 2.9051457; -0.0860099; 10.4405918; -3.0393528
0.9993256; 89655.7206607; 43128.1644067; 2.8153311; -0.0860025; 10.1455089; -3.5290998
1.9986513; 89655.3652103; 43127.2445136; 2.7303046; -0.0865542; 9.7917266; -2.7451802
2.9979769; 89654.9422936; 43126.3778596; 2.6415941; -0.1070737; 9.5074314; -1.5292515
3.9973025; 89654.4251314; 43125.5474443; 2.5246944; -0.1245795; 9.3453096; -0.8698285
4.9966282; 89653.7867923; 43124.7544406; 2.4069295; -0.1025684; 9.2518284; -3.4350044
5.9959538; 89653.0732616; 43124.0397814; 2.3071999; -0.1013507; 8.8730464; -1.5708587
6.9952794; 89652.2877217; 43123.4039805; 2.1884451; -0.1426549; 8.6943288; -0.3510456
7.9946051; 89651.4258797; 43122.8941427; 2.0180573; -0.1602356; 8.6538856; -0.3510456
8.9939307; 89650.5146936; 43122.5243756; 1.9149568; -0.0379081; 8.6132524; 4.9522432
9.9932563; 89649.6046290; 43122.1953962; 1.9326257; 0.0180454; 9.1698378; 1.8713619
10.9925820; 89648.6998426; 43121.8617750; 1.9000531; -0.0782494; 9.3715594; -0.4078638
11.9919076; 89647.6978499; 43121.5777151; 1.7836719; -0.1379137; 9.3279659; -0.4078638
12.9912332; 89646.7451893; 43121.4375861; 1.6527311; -0.1270335; 9.2841677; 0.6462035
13.9905589; 89645.7527234; 43121.4169254; 1.5320029; -0.1177900; 9.3534649; 1.2847741
14.9898845; 89644.7147650; 43121.5208185; 1.4102819; -0.1164952; 9.4897376; 1.0868737
15.9892101; 89643.7233646; 43121.7398429; 1.3005311; -0.0958766; 9.6035099; 2.7252372
16.9885358; 89642.7610882; 43122.0541308; 1.2123641; -0.0799737; 9.8830259; 3.7307812
17.9878614; 89641.8403254; 43122.4400795; 1.1364911; -0.0734126; 10.2533278; 3.7892744
18.9871870; 89640.9245537; 43122.9069584; 1.0640370; -0.0621476; 10.6162220; 4.4674097
19.9865127; 89640.0399618; 43123.4300059; 1.0148939; -0.0310305; 11.0287335; 4.7298455
20.9858383; 89639.2315955; 43123.9416315; 1.0053994; 0.0145483; 11.4492915; 4.6855331
21.9851639; 89638.3981881; 43124.4549307; 1.0331857; 0.0261095; 11.8512034; 4.6416358
22.9844896; 89637.5479902; 43124.9504033; 1.0499134; 0.0069528; 12.2363407; 4.5981498
23.9838152; 89636.6896976; 43125.4426144; 1.0473951; -0.0101735; 12.6062735; 4.5550713
24.9831408; 89635.8607474; 43125.9280019; 1.0334410; -0.0183969; 12.9623351; 4.5123963
25.9824665; 89634.9905974; 43126.4589872; 1.0112474; -0.0248876; 13.3056693; 4.4701211
26.9817921; 89634.1319906; 43127.0131839; 0.9832867; -0.0289016; 13.6372669; 4.4282420
27.9811177; 89633.3157241; 43127.5742469; 0.9535209; -0.0313890; 13.9579927; 4.3867552
28.9804434; 89632.5024390; 43128.1718401; 0.9200461; -0.0351725; 14.2686073; 3.8847864
29.9797690; 89631.7084370; 43128.8000582; 0.8821750; -0.0385794; 14.5381391; 2.8552062
30.9790946; 89630.9461178; 43129.4525929; 0.8435026; -0.0385609; 14.7330937; 2.6123215
31.9784203; 89630.2130275; 43130.1308950; 0.8048269; -0.0389521; 14.9092310; 2.2995680
32.9777459; 89629.5093671; 43130.8346538; 0.7657431; -0.0391161; 15.0625763; 2.0617869
33.9770715; 89628.8277570; 43131.5712957; 0.7280107; -0.0359866; 15.1987498; 2.6042102
34.9763972; 89628.1768987; 43132.3275534; 0.6938493; -0.0324197; 15.3690242; 3.2350312
35.9757228; 89627.5524525; 43133.1023587; 0.6634981; -0.0286023; 15.5779525; 3.9214707
36.9750484; 89626.9471066; 43133.8991138; 0.6364778; -0.0253996; 15.8275158; 4.1257332
37.9743741; 89626.3629942; 43134.7098712; 0.6126986; -0.0221932; 16.0858994; 4.0870805
38.9736997; 89625.7977505; 43135.5322733; 0.5921477; -0.0189820; 16.3378336; 4.0487900
39.9730253; 89625.2465050; 43136.3677284; 0.5749381; -0.0153969; 16.5836343; 4.0108582
40.9723510; 89624.7090785; 43137.2101761; 0.5613579; -0.0117773; 16.8235916; 3.9732817
41.9716766; 89624.1824426; 43138.0575209; 0.5514245; -0.0081306; 17.0579728; 3.9360573
42.9710022; 89623.6608519; 43138.9123706; 0.5447808; -0.0051358; 17.2870253; 3.8991817
43.9703279; 89623.1446671; 43139.7682188; 0.5411522; -0.0021195; 17.5109779; 3.8626515
44.9696535; 89622.6314651; 43140.6232050; 0.5405549; 0.0009287; 17.7300435; 3.8264636
45.9689791; 89622.1155102; 43141.4810688; 0.5428587; 0.0036702; 17.9444199; 3.7906147
46.9683048; 89621.5973961; 43142.3354060; 0.5478992; 0.0064220; 18.1542922; 3.7551016
47.9676304; 89621.0745781; 43143.1851640; 0.5556812; 0.0091775; 18.3598329; -3.0859875
48.9669561; 89620.5427315; 43144.0325324; 0.5655233; 0.0104566; 18.1910871; -9.8134820
49.9662817; 89620.0025885; 43144.8734586; 0.5765992; 0.0117113; 17.6437502; -9.5743167
50.9656073; 89619.4534228; 43145.7068288; 0.5889235; 0.0129899; 17.0928699; -9.5405333
51.9649330; 89618.8941770; 43146.5342702; 0.5986230; 0.0062384; 16.5256771; -11.5720744
52.9642586; 89618.3297534; 43147.3582662; 0.6013683; -0.0007381; 15.8104226; -11.3260389
53.9635842; 89617.7650015; 43148.1840433; 0.5971606; -0.0076521; 15.0775548; -10.2505680
54.9629099; 89617.2106854; 43149.0075760; 0.5868121; -0.0131452; 14.3821191; -9.4330823
55.9622355; 89616.6641271; 43149.8429487; 0.5710635; -0.0183419; 13.7110141; -8.8596897
56.9615611; 89616.1285691; 43150.6952687; 0.5501470; -0.0231291; 13.0493094; -7.7035035
57.9608868; 89615.6203896; 43151.5485169; 0.5226223; -0.0324269; 12.4453951; -6.7288322
58.9602124; 89615.1368479; 43152.4235649; 0.4854474; -0.0419556; 11.8928243; -5.9091934
59.9595380; 89614.6884622; 43153.3223426; 0.4384340; -0.0516740; 11.3854668; -5.3972721
60.9588637; 89614.2929863; 43154.2287994; 0.3829437; -0.0602466; 10.9014489; -5.2310502
61.9581893; 89613.9504598; 43155.1620243; 0.3194518; -0.0671394; 10.4108858; -5.2039317
62.9575149; 89613.6671474; 43156.1301694; 0.2491298; -0.0718280; 9.8987726; -5.4202035
63.9568406; 89613.4537890; 43157.1224529; 0.1730242; -0.0801003; 9.3355558; -4.7121715
64.9561662; 89613.3226394; 43158.1274863; 0.0834069; -0.0984402; 8.8167236; -3.0856048
65.9554918; 89613.2927971; 43159.1196381; -0.0283484; -0.1292466; 8.4597616; -2.8750293
66.9548175; 89613.3972861; 43160.1500685; -0.1739218; -0.1304691; 8.1130380; -2.6087828
67.9541431; 89613.6417760; 43161.1708947; -0.2885972; -0.0866491; 7.7850715; -6.2658246
68.9534687; 89613.9361505; 43162.0553822; -0.3448784; -0.0266039; 6.9342729; -4.1028912
69.9527944; 89614.2931550; 43162.9864577; -0.4205760; -0.2026900; 6.3153695; -0.1852205
70.9521200; 89614.7945207; 43163.7970393; -0.7042254; -0.3036921; 6.2859924; -0.1852205
71.9514456; 89615.5246963; 43164.4732701; -0.9196616; -0.1671575; 6.2564774; 0.8524384
72.9507713; 89616.3939940; 43165.0217014; -1.1061831; -0.2285864; 6.3911843; -0.1896942
73.9500969; 89617.3308740; 43165.3297620; -1.4142538; -0.2965298; 6.3614545; -0.1896942
74.9494225; 89618.3041665; 43165.3971185; -1.5281864; 0.0582598; 6.3315852; 5.1120829
75.9487482; 89619.1986251; 43165.4517076; -1.5214716; -0.0886911; 7.0926894; 5.0641895
76.9480738; 89620.2093588; 43165.4354055; -1.6673809; -0.1792721; 7.7735314; 0.8837261
77.9473994; 89621.2507828; 43165.2304220; -1.8582795; -0.1494148; 7.8863205; 2.4157528
78.9467251; 89622.1654536; 43164.8968469; -1.9745340; -0.0980031; 8.1867148; 4.9858330
79.9460507; 89623.0939418; 43164.4481326; -2.0643918; -0.0801893; 8.7742373; 4.9391223
80.9453763; 89623.9795738; 43163.9238480; -2.1466948; -0.0830828; 9.3198081; 4.3763776
81.9447020; 89624.8274072; 43163.3169576; -2.2391861; -0.0932571; 9.7778155; 2.6359373
82.9440276; 89625.5780714; 43162.6644622; -2.3339137; -0.0956754; 10.0436047; 1.8759979
83.9433532; 89626.2469967; 43161.9635306; -2.4241014; -0.0889226; 10.2285610; 2.2061887
84.9426789; 89626.8653633; 43161.1917069; -2.5062955; -0.0775534; 10.4418802; 3.0330397
85.9420045; 89627.4286160; 43160.3652705; -2.5787619; -0.0675725; 10.7282269; 3.6832454
86.9413301; 89627.9346137; 43159.5026944; -2.6419693; -0.0590577; 11.0660008; 4.1939889
87.9406558; 89628.3888645; 43158.6113396; -2.6974018; -0.0518238; 11.4384744; 4.6061323
88.9399814; 89628.7957562; 43157.6991472; -2.7453428; -0.0440398; 11.8340504; 4.6435402
89.9393070; 89629.1618638; 43156.7708040; -2.7851791; -0.0357373; 12.2198840; 4.6000364
90.9386327; 89629.4944943; 43155.8302656; -2.8169493; -0.0285030; 12.5904501; 4.5569402
91.9379583; 89629.8004742; 43154.8797666; -2.8423380; -0.0223746; 12.9470911; 4.5142476
92.9372839; 89630.0856695; 43153.9207913; -2.8617171; -0.0163875; 13.2909584; 4.4719551
